# qwen3-4b  random_baseline_norm_entropy=0.9498

[singlev_layers0-11_lr1e-3 | L0 | normed | H_norm=0.949 top1=0.001] ython | 祇 | ья |  embed | 椒 |  Cons | peech | 井 | grounds | MH |  Monaco | vale |  Moy |  grading | 卿
[singlev_layers10-25_lr5e-5 | L11 | normed | H_norm=0.950 top1=0.000] 热带 | _rsp | 传出 | 薄 | 损耗 | etical | 德拉 |  infl | ebb | 渥 |  hors | 灌 |  Kas | [min | 混乱
[singlev_layers10-25_lr5e-5 | L12 | normed | H_norm=0.951 top1=0.000] 厚厚 | ivable | 总算 | oor | 全社会 | ending | 独自 | 无知 |  edible |  el | 瞒 |  cogn |  stri | isode |  irr
[singlev_layers10-25_lr5e-5 | L13 | normed | H_norm=0.949 top1=0.001] erties | otec |  stri |  struck | erto | 类似的 | stri | 全社会 | 相关的 | height |  explained | 高科技 | 潜能 | 不忘 |  hits
[singlev_layers10-25_lr5e-5 | L14 | normed | H_norm=0.951 top1=0.000]  mog | 对抗 | .OR | レス | 他妈 | 雷斯 | tell | ston |  Crash | Conexion | 某种 | .GO | 不忘 | хож | .fil
[singlev_layers10-25_lr5e-5 | L15 | normed | H_norm=0.949 top1=0.001] 万事 | 缯 | مو |  HAR | 说起 | 铈 | ((& | 此基础上 | 重要作用 | .qq | 生活环境 | .standard | ITOR | 半夜 |  conduit
[singlev_layers10-25_lr5e-5 | L16 | normed | H_norm=0.950 top1=0.000] озд | uld | 这个词 | леч |  shouldn | 这话 | 搞 |  Locator | /google | enstein | 匹 | 吁 | 溶 | ucid | -Ass
[singlev_layers10-25_lr5e-5 | L17 | normed | H_norm=0.950 top1=0.001] illard | 重中 | 剩下的 | indow | pii | 这部分 | なんか |  Affero | (va | 这个词 |  conting |  Locator | 为啥 | illon | леч
[singlev_layers10-25_lr5e-5 | L18 | normed | H_norm=0.950 top1=0.001] 这部分 | леч | indow | :::::::: | $$$ |  Codec | ipi | 我现在 | í | 这边 |  sue | ówki | なんか |  kể | achten
[singlev_layers10-25_lr5e-5 | L19 | normed | H_norm=0.951 top1=0.001] ollar | Caller | � | asive | =start | 我还是 | ough | 又能 | ...", | ...",\n |  Anyway | уб | ataka | erator | vious
[singlev_layers10-25_lr5e-5 | L20 | normed | H_norm=0.951 top1=0.001] 小伙子 | Caller | illard | 疑问 | illon | gee |  ngh | � | 虐 | なんか | 荪 | 'acc | 猜 | 归 | 篝
[singlev_layers10-25_lr5e-5 | L21 | normed | H_norm=0.950 top1=0.001] 小子 | 想到 | 考虑到 | ças | 走到 | pto | illon | old | ...", | otte | öst | nder | essen | ito | Caller
[singlev_layers10-25_lr5e-5 | L22 | normed | H_norm=0.952 top1=0.000] eler | ...", | /pi | пп | anel | ओ | irc | 'acc | 乱象 | omez | 瓢 | nested | 疑惑 | nder | 咒
[singlev_layers10-25_lr5e-5 | L23 | normed | H_norm=0.951 top1=0.001] itar | eper | iano | ... | 嘛 |  dip | apa | oring | 比我 |  dipped | 深深的 | nette | olah | (ur | ple
[singlev_layers10-25_lr5e-5 | L24 | normed | H_norm=0.949 top1=0.002] ... | eah | 这家伙 | ...", | ,... | ...' | Nhap | ...\n | 払い | apa | ..." | eper | anel | 嘛 | ...")\n
[singlev_layers10-25_lr5e-5 | L25 | normed | H_norm=0.950 top1=0.002] ... | eah | Hmm |  popped | apa | 啊 | Nhap | ...\n | ...", |  flipping | 嘛 | 这是 |  realize |  Oh | 振
[singlev_layers12-23_lr1e-3 | L12 | normed | H_norm=0.949 top1=0.001] esa |   |  cogn | SPATH | unnable | iffs |  ob | 争论 | 운 |  outer |  el | 厚厚 | .getView | ableView | 满满
[singlev_layers12-23_lr1e-3 | L13 | normed | H_norm=0.949 top1=0.001] spot | erto | stri | 注视 | lice | 巽 | 佩服 | otec | -valid |  stri | PPP | 说了 |  related | 不断发展 | 解说
[singlev_layers12-23_lr1e-3 | L14 | normed | H_norm=0.951 top1=0.001] 对抗 | asion | 本国 | usan | 冒 | someone |  partly | 发展的 |  mog |  Underground |  wake | 自来 | maps | itated | asper
[singlev_layers12-23_lr1e-3 | L15 | normed | H_norm=0.949 top1=0.001] 此基础上 | ((& | .standard | 重要作用 | .qq | alse | 的那个 | 空中 | 訂 | andest | 万事 |  Mattis | 这张 | 气氛 |  TableName
[singlev_layers12-23_lr1e-3 | L16 | normed | H_norm=0.951 top1=0.001]  shouldn | 硝 | $$$ | inne | озд | ائية |  Affero | 这方面 | ῦ | $$$$ | .dst | 变态 | 这个词 | 吁 |  CDDL
[singlev_layers12-23_lr1e-3 | L17 | normed | H_norm=0.951 top1=0.001] illard |  conting |  Affero | kont | (rr | ∼ | igh | 圉 | кан | continent |  Gingrich | 字 | 这张 | pii | 什么叫
[singlev_layers12-23_lr1e-3 | L18 | normed | H_norm=0.949 top1=0.001] $$$ | achten | 这段 | 字 | 这件事情 | 咫 | 这部分 | igth |  волн | 这次 | 不远 | akter | ówki | ",{ | 有点
[singlev_layers12-23_lr1e-3 | L19 | normed | H_norm=0.951 top1=0.001] 怎么样 | Caller | 分布 | (vo | 说起 | 办公厅 | ollar | ubber |  distribute | ��态 | ówki | 呗 | 租 | ien | 嘛
[singlev_layers12-23_lr1e-3 | L20 | normed | H_norm=0.952 top1=0.000] 篝 | gee |  pir | 接触到 | -held | 嘛 | 研究所 | 疑问 | eler | 想到 | 常常 | 因地 |  Codec |  kö |  Fr
[singlev_layers12-23_lr1e-3 | L21 | normed | H_norm=0.951 top1=0.001] 想到 | 急 | eler | inges |  Dive | 不去 | oen | omic | � | ival | aller | 事情 | omen | ças | otech
[singlev_layers12-23_lr1e-3 | L22 | normed | H_norm=0.952 top1=0.000] пп | ',{\n | üz | eler |  су | 瓢 | 呼和 | 想到 | psy | irc | SU | 。。 | inges | utar | 遍及
[singlev_layers12-23_lr1e-3 | L23 | normed | H_norm=0.952 top1=0.001] xxxxxxxx |  eens | erry | eah | itta | 轮 | aras | olah | 桩 | leigh | dddd | ential | eper |  Jal | anke
[singlev_layers15-16_lr1e-3 | L15 | normed | H_norm=0.947 top1=0.001] 搞得 | .qq | 重中 | 万事 |  HAR |  Mattis |  Relatives |  corridors | /pi | (go | 这张 |  conting | 铈 | 浓浓的 | 这个词
[singlev_layers15-16_lr1e-3 | L16 | normed | H_norm=0.949 top1=0.000] 沉默 | 匹 | 这个词 |  quần | ipi |  Locator | なんか | леч | озд | 变态 | 这话 | 午 | 吁 | SK | 都认为
[singlev_layers20-21_lr1e-3 | L20 | normed | H_norm=0.949 top1=0.001] 说着 |  ngh | ^- | WARD | 疑问 |  depicted | =? | pto | 小伙子 | /svg | 说完 |  Hmm |  kj | iaux | 发挥作用
[singlev_layers20-21_lr1e-3 | L21 | normed | H_norm=0.948 top1=0.000] illon | old | venir | plies | ^- | Old | 涉 |  Old | ña | 可能是 | ominated |  Dive | ш | cean |  supposed
[singlev_layers24-25_lr1e-3 | L24 | normed | H_norm=0.950 top1=0.002] ... | ...' | ,... | 淖 | 嘛 | anium | .just |  primes | .pb |  kab | acer |  общественно |  kh | atal | ..."
[singlev_layers24-25_lr1e-3 | L25 | normed | H_norm=0.951 top1=0.001] 嘛 | ... | 呗 | viously |  Yeah | eah | illon | 不良信息 | avern | 'app | Hmm | ...' | 这家伙 |  Hmm | 吧
[singlev_layers24-25_lr6e-3 | L24 | normed | H_norm=0.951 top1=0.001] ...\n | linger | мот | рин | 嘛 | VED |  ..\n | =? | eah | ขาด | ... | ;. |  Maybe | 活跃 |  kid
[singlev_layers24-25_lr6e-3 | L25 | normed | H_norm=0.949 top1=0.002] pto |  yeah | 颞 | eah | ...\n | 为啥 |  Anyway | 思う | 权益 | 的例子 | そもそも |  Narrow | 不行 |  Raz | ple
[singlev_layers24-35_lr1e-3 | L24 | normed | H_norm=0.946 top1=0.002] ... | 这家伙 |  perhaps |  Maybe |  maybe | 似乎 | Hmm | 黑名单 | ,... | ”? | maybe | 或许 | xes | 好象 | 好像
[singlev_layers24-35_lr1e-3 | L25 | normed | H_norm=0.946 top1=0.002] ... | 事儿 | 但实际上 | Hmm |  perhaps |  Maybe | aybe | 吧 |  Hmm | 但这 |  yeah | 这家伙 |  необходимости | elter | 像是
[singlev_layers24-35_lr1e-3 | L26 | normed | H_norm=0.943 top1=0.004] ... |  perhaps |  Maybe | 但实际上 | ..., | 吧 | ...", | 或许是 | Hmm | But | Alternatively |  Hmm | 事儿 | 某种程度 | 但这
[singlev_layers24-35_lr1e-3 | L27 | normed | H_norm=0.928 top1=0.005] ... |  but | But | 但这 |  But | 但实际上 |  nhưng | 但在 | 但 | but | Wait | 然而 |  perhaps | 但他 | 吧
[singlev_layers24-35_lr1e-3 | L28 | normed | H_norm=0.938 top1=0.003] Wait | But | ... |  wait |  but | 吧 |  nhưng |  But | 等待 |  Wait | 但这 | but | 了吧 |  perhaps | だけど
[singlev_layers24-35_lr1e-3 | L29 | normed | H_norm=0.933 top1=0.004] Wait | But |  but |  wait |  But |  nhưng | 等待 |  Wait | ... | but | ,but | _but | だけど | 但 | 但这
[singlev_layers24-35_lr1e-3 | L30 | normed | H_norm=0.913 top1=0.018] But |  but |  But |  nhưng | 但 | Wait | but | 但我 | 但这 | ,but | _but | 但是 | ... |  perhaps | .But
[singlev_layers24-35_lr1e-3 | L31 | normed | H_norm=0.945 top1=0.003] Wait |  nhưng | But | Alternatively |  Alternatively |  perhaps |  But | ...", |  Wait | あたり | 欤 | ...' | ... | 或許 | なんか
[singlev_layers24-35_lr1e-3 | L32 | normed | H_norm=0.921 top1=0.012] But | Wait |  nhưng |  But |  but | 但 |  Wait | 但这 | but | ,but | Alternatively |  Alternatively | .But |  wait | wait
[singlev_layers24-35_lr1e-3 | L33 | normed | H_norm=0.889 top1=0.026] But |  But |  but | 但 |  nhưng | 但这 | ... | but | Wait | 但对于 |  Wait | _but | Alternatively |  Nhưng | .But
[singlev_layers24-35_lr1e-3 | L34 | normed | H_norm=0.204 top1=0.353]  Wait | Wait |  wait | wait | 等待 | _wait |  waits | But | .Wait | 	wait | but |  But |  waited | .wait | WAIT
[singlev_layers3-4_lr1e-3 | L3 | normed | H_norm=0.951 top1=0.001] olon | hyth | -ish | .Editor | � |  fluor |  Sites | ove | nable | bons | � |  sims | � |  Mong | ographies
[singlev_layers3-4_lr1e-3 | L4 | normed | H_norm=0.949 top1=0.000] fox | lk | olon | opard | lord | 同一个 | -par |  pari | روح | 梭 | rnd |  monoc | .Editor | artisan |  Garland
[singlev_layers3-4_lr2e-3 | L3 | normed | H_norm=0.950 top1=0.001]  iota | ury | � | 人际关系 | apyrus |  Orn | -middle | 速度 |  redund | 僭 | 就有了 |  Gü | -append | 蟒 |  MU
[singlev_layers3-4_lr2e-3 | L4 | normed | H_norm=0.950 top1=0.000] 混淆 | .dict |  redund | WARE | afa |  dictionaries | 人际关系 | 一部 |  ham | lord |  mou | .lu | =dict | Orig | 装备
[singlev_layers32-33_lr1e-3 | L32 | normed | H_norm=0.956 top1=0.001] ewan | 々 |  osob | ...' | 牝 | leep | usercontent |  çalıştı | {name | agas | /' |  nhưng | acades | .getFirst | .forEach
[singlev_layers32-33_lr1e-3 | L33 | normed | H_norm=0.954 top1=0.005] ...' | ... | ...</ | '? | ...', | ...'\n | '. | ...] | ,... | ..." | )... | /'. | ...", | /' | 期待
[singlev_layers7-8_lr1e-3 | L7 | normed | H_norm=0.949 top1=0.001] ailable | 比如说 | coverage | 杂 | 卡拉 | lord | 也算 | 人们对 |  ör | -sk | 聊聊 | ouple | 发挥作用 | 而不是 | 镳
[singlev_layers7-8_lr1e-3 | L8 | normed | H_norm=0.950 top1=0.001] 卡拉 | 兼 | AndServe | OnError | 铤 |  bisexual |  myself | 给自己 | 人们对 | 我自己 | 陪你 | 朗 | pard |  functioning | ирующ
