# deepseek7b  random_baseline_norm_entropy=0.9594

[singlev_layers0-10_lr1e-1 | L0 | normed | H_norm=0.918 top1=0.001]  Gross |  ( |  gross |  Der |  stand | , |  Cr |   | . |  Gal |  deriv |  Sol | shake | lass |  x
[singlev_layers10-20_lr1e-1 | L20 | normed | H_norm=0.959 top1=0.000] quan | .${ |  spont | IBUTE | -parts | -books | quia | LG | -framework |  ОО | ]." | 出身 | 恫 | 全部 | rott
[singlev_layers10-20_lr3e-1 | L10 | normed | H_norm=0.957 top1=0.001] -town | -photo | .''\n\n |  foresee |  fors | plat |  gains | [:,: | ∎ |  dashes | 一秒 | ^K | -pad | Inspector | owing
[singlev_layers10-20_lr3e-1 | L11 | normed | H_norm=0.957 top1=0.001] owing | ={({ |  Hus | itory |  ${({ | ?): | -pad |  casc |  '.. |  Katz | sembled | illis | prech | Cc | -spe
[singlev_layers10-20_lr3e-1 | L12 | normed | H_norm=0.957 top1=0.001] !-- | zug |  captivity | :? | :Add |  ${({ |  Tablets | ."\ | prs | -users | ∎ | ‽ | eating | 岁以下 | estr
[singlev_layers10-20_lr3e-1 | L13 | normed | H_norm=0.956 top1=0.001] !-- | weg |  Muse | uter |  ${({ |  Hus | ieg | owing |  thereof | pathname | _Construct | erte | /control | lette | 'use
[singlev_layers10-20_lr3e-1 | L14 | normed | H_norm=0.957 top1=0.001] INC | _Construct | oku |  outline |  /[ |  Muse | :? | /Private |  Catalonia | /z | liner | ilter |  pip | #w |  neckline
[singlev_layers10-20_lr3e-1 | L15 | normed | H_norm=0.960 top1=0.001]  pip | alc |  /[ |  });\n\n |  bytecode |  shorts |  IMM | ,/ |  Dud |  ordered |  renewal |  transports |  Oliv | .parts | 一致
[singlev_layers10-20_lr3e-1 | L16 | normed | H_norm=0.960 top1=0.000]  shorts |  renewal |  Cincinnati |  retiring |  Tablets | 正好 | alc |  renewed | 新规 | marine |  trav | Ret |  uphill |  IMM |  Ops
[singlev_layers10-20_lr3e-1 | L17 | normed | H_norm=0.960 top1=0.000] alc | -mar |  renewal |  METH | bau | KEEP |  sustaining |  poke |  acad |  bots |  Execute | acci | trä | arges |  gracious
[singlev_layers10-20_lr3e-1 | L18 | normed | H_norm=0.959 top1=0.001] !-- |  plag |  &: | 我也 | -mar |  apr |  Anth | :'' |  iov |  Fresh | cased |  ordered |  horns | 新规 | @d
[singlev_layers10-20_lr3e-1 | L19 | normed | H_norm=0.959 top1=0.001]  answer | answer | ṡ | edar |  answering | cased |  answers | 回答 | _answer |  semiclass |  apr |  BLL |  iov | pherd |  plag
[singlev_layers10-20_lr3e-1 | L20 | normed | H_norm=0.955 top1=0.003]  answer | :'' | -answer | cased | edar | bidden | (answer |  Thus | 的答案 | 回答 | 答案 | _answer |  Answer | &m |  answers
[singlev_layers10-20_lr5e-3 | L10 | normed | H_norm=0.964 top1=0.000] ace | ŭ | 书写 |  Tweet |  simplistic |  Sylv | -ft | Help | Pack | IMER |  asn |  Guill |  Improvement | ynchronously | ******\n\n
[singlev_layers10-20_lr5e-3 | L11 | normed | H_norm=0.962 top1=0.000] -kit | 也可能 | ynchronously |  Doch | -ft | .parts | ecute | ধ | yne |  <$ | 沤 |  Stewart | 息 |  grinned | fst
[singlev_layers10-20_lr5e-3 | L12 | normed | H_norm=0.963 top1=0.000] -mm | -ft | 骨骼 |  warmed | fine |  Tits |  retarded | 不尽 | .RegularExpressions |  Stack |  Gab | 授 |  peculiar | 房子 | 王先生
[singlev_layers10-20_lr5e-3 | L13 | normed | H_norm=0.962 top1=0.001]  Tits | .parts |  Latvia |  adequ | 也可能 | -ft |  � | scss |  warmed |  *@ | /rec |  Kund | 授 | � | aky
[singlev_layers10-20_lr5e-3 | L14 | normed | H_norm=0.962 top1=0.000] � |  � | -ft |  *@ |  abl |  mythology |  Guill |  patriot | 'aff | .parts | .cgi | /+ |  marg |  occup |  lodging
[singlev_layers10-20_lr5e-3 | L15 | normed | H_norm=0.962 top1=0.000]  speeding | 输 |  skiing | 次要 | 这个词 |  Oliv | CS |  collaborating |  follower | rita | ati | 限额 |  Sell | 一律 |  Kad
[singlev_layers10-20_lr5e-3 | L16 | normed | H_norm=0.961 top1=0.000]  lodging | 输 |  Latvia |  occup |  Sell |  tweeting |  Seven |  participation |  deem | � |  reim |  asn | 合唱 | 无所谓 | 值得一
[singlev_layers10-20_lr5e-3 | L17 | normed | H_norm=0.961 top1=0.000]  instruct |  Diễn |  Professionals |  אש | 彼 |  Checklist |  Pais |  Tells |  scand |  Automation | 丰收 | ipur | 我不想 | 对此 | Directions
[singlev_layers10-20_lr5e-3 | L18 | normed | H_norm=0.961 top1=0.000] 不可以 | izia |  Growing | iaux |  say |  Related | tran | we |  stern | 不得 | 責任 | ikal |  frag | rown |  sticks
[singlev_layers10-20_lr5e-3 | L19 | normed | H_norm=0.964 top1=0.000]  adher |  Ryu |  comply |  constrained | 遵守 |  dine | 冷水 |  constraints |  deselect | submitted |  requested |  dawn | Datos | ogene | ối
[singlev_layers10-20_lr5e-3 | L20 | normed | H_norm=0.962 top1=0.000] Calendar |  answer | must |  enf | 不了 |  stressed |  constraints |  Requirements | 众 |  nach | _answer | 须 |  constrained |  innovate |  comply
[singlev_layers16-17_lr1e-1 | L16 | normed | H_norm=0.961 top1=0.001] sembled | 捧 | РЕ |  dum |  tun |  pat | -eng | 还有一个 | atum | 模仿 |  LSM |  precip | 嫌弃 | 之意 | 之一
[singlev_layers16-17_lr1e-1 | L17 | normed | H_norm=0.961 top1=0.001]  deepest |  cathedral |  Wig | days |  Stam |  tobacco | Contained | ups | 冤 | andas |  inexperienced |  pathlib |  wholes | Operations | esteem
[singlev_layers20-21_lr1e-1 | L20 | normed | H_norm=0.952 top1=0.001] 三点 |  stre |  contributions |  Uniform |  trapping | 如下 | puted |  Fran |  Fonts |  interf | ousand |  goals | uteur | 为此 | underscore
[singlev_layers20-21_lr1e-1 | L21 | normed | H_norm=0.959 top1=0.001] etration |  orn | *size | -xl | 封面 | charm | OE | 全体 | 印刷 | =~ | bö |  inaugur | ]=$ | ',$ | 峰值
[singlev_layers20-27_lr1e-1 | L20 | normed | H_norm=0.954 top1=0.001] 三点 |  Fran | ousand |  Uniform |  LAB |  contributions | 为此 |  traction |  classified |  flask |  Related | 过程 | olla |  trapping | 一个星期
[singlev_layers20-27_lr1e-1 | L21 | normed | H_norm=0.956 top1=0.001]  catches |  eyeb |  ect | 封面 |  timestep |  interpol | Neg | asd |  Got |  quer | neg |  mex | terms |  caught |  IPC
[singlev_layers20-27_lr1e-1 | L22 | normed | H_norm=0.956 top1=0.001]  fame |  Hur |  sever | ANA | ::< |  Hipp |  Scandinavian | stores | 简称 | ” | fixtures | 关注 | keletal |  concrete | $time
[singlev_layers20-27_lr1e-1 | L23 | normed | H_norm=0.959 top1=0.000] 楼下 | [` | 挚 | -split | -original | spl | llib | OUNT |  unfinished | 不得不 | PAR | |# | ’y | =?, | bone
[singlev_layers20-27_lr1e-1 | L24 | normed | H_norm=0.959 top1=0.000] 图标 |  mute | -location |  alert | 一律 |  verge |  personalized | scrição |  sanitary | ╮ |  Rated |  bats | udas | :name | [..
[singlev_layers20-27_lr1e-1 | L25 | normed | H_norm=0.958 top1=0.001]  \% |  __( | orer | %%%%%%%% | 来看看吧 |  $($ |  Georgian | 任何一个 |  Hv | ⟹ |  god | -vertical |  crit | 古今 |  inconsistent
[singlev_layers20-27_lr1e-1 | L26 | normed | H_norm=0.958 top1=0.001] ären | ncia | Ranked | FLASH |  Dio | LOOD | -fin | efore | -basic | visor |  outbreak | FTER | SEO |  oversees | CCCC
[singlev_layers20-27_lr1e-1 | L27 | normed | H_norm=0.938 top1=0.005]  must |  MUST | <｜end▁of▁sentence｜> |  The |  need |  center |  ending |  words | —if |  answer |  needs | must |  instructions | 须 |  instruction
[singlev_layers3-4_lr1e-1 | L3 | normed | H_norm=0.925 top1=0.001] ic | 物 | omin |  As |  direct |  exact |  (!( | oh |   |  Cort |  Val |  Al |  Blue |  A |  P
[singlev_layers3-4_lr1e-1 | L4 | normed | H_norm=0.952 top1=0.000]  majority | 相近 |  sco | aires | -changing |  bol |  dame |  scoop | endum |  wal | 分开 |  sidebar |  familiarity | -purpose |  ({\n
