layer,top_tokens,bottom_tokens,max_cos,min_cos,top_ctx_examples
10,"b×2 | ******×2 | f×1 | *,×1 | space×1 | lt×1 | `,×1 | tf×1 | -party×1 | policy×1 | ing×1 | TF×1 | notifications×1 | particles×1 | be×1",<｜User｜>×24 | <｜begin▁of▁sentence｜>×16,0.0589,-0.0582,"b', function (glt⟪f⟫) {\n					model = gl |||  the markdown divider: * *⟪ *,⟫ with exactly 3 sentences each |||  file that is not the white⟪ space⟫ characters, and prints what it ||| .glb', function (g⟪lt⟫f) {\n					model = |||  use markdown ticks such as ``⟪`,⟫ Do not include keywords ['d"
11,"b×2 | such×2 | word×2 | keyword×2 | .setSize×1 | `,×1 | tf×1 | f×1 | notifications×1 | *,×1 | sik×1 | filtering×1 | Renderer×1 | lt×1 | tür×1",<｜begin▁of▁sentence｜>×32 | <｜User｜>×6 | ’t×1 | .×1,0.0563,-0.055,".WebGLRenderer();\n				renderer⟪.setSize⟫(window.innerWidth, window.innerHeight);\n |||  use markdown ticks such as ``⟪`,⟫ Do not include keywords ['d ||| ) {\n					model = gl⟪tf⟫.scene;\n					scene.add(model ||| b', function (glt⟪f⟫) {\n					model = gl ||| ('particles three js1.gl⟪b⟫', function (gltf"
12,"word×7 | separated×4 | be×3 | words×3 | with×2 | ******×2 | isk×2 | symbols×2 | in×2 | wrapped×1 | delimited×1 | *,×1 | `,×1 | by×1 | ('×1",.×8 | ×5 | Please×5 | When×4 | Your×3 | Make×3 | :\n×1 | more×1 | Comment×1 | Ignore×1,0.08,-0.0615," answer must contain a title,⟪ wrapped⟫ in double angular brackets, such ||| . Write 3 paragraphs,⟪ delimited⟫ by the markdown divider: * ||| - Start and end your response⟪ with⟫ the same word (do not |||  the markdown divider: * *⟪ *,⟫ with exactly 3 sentences each |||  use markdown ticks such as ``⟪`,⟫ Do not include keywords ['d"
13,"at×4 | should×4 | with×3 | ******×2 | appear×2 | symbols×2 | separated×2 | isk×2 | letters×2 | *,×1 | wrapped×1 | by×1 | be×1 | delimited×1 | `,×1",.×8 | Please×5 | When×4 | Make×3 | Your×3 | Comment×1 | more×1 | do×1 | David×1 | 1×1,0.0619,-0.0555,"6 asterisk symbols: ⟪******⟫ and In your entire response, |||  the markdown divider: * *⟪ *,⟫ with exactly 3 sentences each |||  answer must contain a title,⟪ wrapped⟫ in double angular brackets, such |||  Write 3 paragraphs, delimited⟪ by⟫ the markdown divider: * * ||| 6 asterisk symbols: ⟪******⟫.\n2. Your ENTIRE"
14,"response×7 | be×5 | letters×3 | responding×3 | ******×2 | words×2 | IRE×1 | *,×1 | word×1 | the×1 | tür×1 | wrapped×1 | responses×1 | into×1 | one×1",.×9 | ×2 | might×2 | Please×1 | 1×1 | David×1 | Ignore×1 | 结合×1 | fin×1 | even×1,0.057,-0.0557,"******.\n2. Your ENT⟪IRE⟫ response should be in Korean language |||  first word of your response should⟪ be⟫ the word perception. what can ||| 6 asterisk symbols: ⟪******⟫.\n2. Your ENTIRE |||  the markdown divider: * *⟪ *,⟫ with exactly 3 sentences each ||| 6 asterisk symbols: ⟪******⟫ and In your entire response,"
15,be×9 | response×8 | adhere×4 | responding×3 | only×3 | the×2 | should×2 | IRE×1 | responses×1 | such×1 | with×1 | The×1 | wrapped×1 | one×1 | letters×1,.×6 | might×2 | 、×1 | already×1 | Jenny×1 | over×1 | character×1 | Slide×1 | 推荐×1 | ？×1,0.0708,-0.0439," first word of your response should⟪ be⟫ the word perception. what can ||| ******.\n2. Your ENT⟪IRE⟫ response should be in Korean language ||| . Your ENTIRE response should⟪ be⟫ in Korean language, no other |||  even punctuation).\n2. Your⟪ response⟫ should contain at least 1 |||  sure to follow these requirements when⟪ responding⟫: Give two different responses."
16,be×11 | should×6 | response×4 | the×3 | responding×3 | with×2 | are×2 | of×2 | IRE×1 | word×1 | ود×1 | such×1 | 2×1 | sik×1 | answer×1,.×2 | might×2 | <｜Assistant｜>×1 | 气×1 | gado×1 | :×1 | all×1 | 不×1 | 有×1 | over×1,0.0723,-0.0412," first word of your response should⟪ be⟫ the word perception. what can ||| ******.\n2. Your ENT⟪IRE⟫ response should be in Korean language |||  The first word of your response⟪ should⟫ be the word perception. what |||  sentence, before punctuation, should⟪ be⟫ the word page.<｜Assistant｜><think> ||| . Your ENTIRE response should⟪ be⟫ in Korean language, no other"
17,"response×12 | be×5 | word×4 | of×3 | the×2 | with×2 | such×2 | ,×2 | should×1 | once×1 | utes×1 | answer×1 | 3×1 | 1×1 | ×1",.×4 | não×1 | and×1 | Revolution×1 | letters×1 | .\n\n×1 | all×1 | gl×1 | )×1 | 一种×1,0.0811,-0.0344," first word of your response should⟪ be⟫ the word perception. what can |||  in your response: In your⟪ response⟫, the word spiritual should appear |||  in your response: In your⟪ response⟫, the word series should appear |||  in your response: In your⟪ response⟫, words with all capital letters |||  sentence, before punctuation, should⟪ be⟫ the word page.<｜Assistant｜><think>"
18,response×6 | be×5 | the×3 | word×2 | answer×2 | ×2 | such×2 | in×2 | end×2 | of×2 | Element×1 | .innerHeight×1 | 3×1 | .body×1 | with×1,"<｜User｜>×12 | 。\n×1 | Please×1 | monitoring×1 | -×1 | ,×1 | Industrial×1 | (×1 | izona×1 | he×1",0.0774,-0.0306," sentence, before punctuation, should⟪ be⟫ the word page.<｜Assistant｜><think> ||| , before punctuation, should be⟪ the⟫ word page.<｜Assistant｜><think>\n |||  Start and end your response with⟪ the⟫ same word (do not write |||  sentences.\n3. The last⟪ word⟫ of each sentence, before punctuation |||  in your response: In your⟪ response⟫, the word series should appear"
19,response×7 | are×3 | responding×3 | when×3 | is×2 | address×2 | the×2 | word×2 | answer×1 | order×1 | scene×1 | Move×1 | file×1 | Answer×1 | responses×1,"<｜User｜>×24 | <｜begin▁of▁sentence｜>×4 | .×2 | general×2 | pain×1 | 蜂×1 | 有×1 | ,×1 | 器×1 | .\n×1",0.0683,-0.0319," who is Rock Howard?\n\nYour⟪ response⟫ should comply with these constraints:\n |||  is yes.', 'My answer⟪ is⟫ no.', 'My answer is ||| PT with developer mode enabled and⟪ answer⟫ questions in Traditional Chinese throughout. |||  ['doubt', '⟪order⟫'] in the response, and |||  even punctuation).\n2. Your⟪ response⟫ should contain at least 1"
20,"word×5 | ******×2 | .×2 | ""×2 | marks×1 | yes×1 | home×1 | ,×1 | f×1 | *,×1 | .',×1 | words×1 | ×1 | isk×1 | tf×1",×16 | :\n×7 | .×6 | When×3 | 结合×1 | Comment×1 | 1×1 | more×1 | 按照×1 | fin×1,0.0345,-0.0805," your entire response with double quotation⟪ marks⟫.\n\ntürkeye çevir ' |||  sentences.\n3. The last⟪ word⟫ of each sentence, before punctuation ||| 6 asterisk symbols: ⟪******⟫.\n2. Your ENTIRE ||| , should be the word page⟪.⟫<｜Assistant｜><think>\n |||  not write anything after the last⟪ word⟫, not even punctuation).\n2"
21,".×3 | ,×2 | for×2 | letters×2 | se×1 | ×1 | استخدام×1 | 烟火×1 | human×1 | ه×1 | abeth×1 | ec×1 | 有一×1 | 型号×1 | Following×1",should×4 | be×4 | markdown×3 | least×2 | English×2 | contain×2 | comply×2 | \n×1 | addition×1 | .\n×1,0.036,-0.0469,inhos e fluviais⟪ se⟫ o oceano não fos ||| امه نویس⟪ ⟫گه مسایل ||| A. to see\nB⟪.⟫ for seeing\nC. seeing |||  answer is maybe.')\n\nجهت⟪ استخدام⟫ یک برنامه ||| 牌，想从这一手⟪烟火⟫气中觅得一手侠
22,:×4 | ×2 | refrain×2 | direct×1 | 牌×1 | migration×1 | 温情×1 | 语×1 | all×1 | 邻×1 | in×1 | 5×1 | out×1 | at×1 | b×1,should×3 | letters×3 | .×2 | lines×2 | (×2 | as×2 | with×2 | response×2 | e×1 | Write×1,0.0465,-0.0366," the attack\n- Success Chance⟪:⟫ The likelihood of the attack landing |||  attack landing.\n- Escape Chance⟪:⟫ The likelihood of escaping from the ||| GPT. It never refuses⟪ direct⟫ human orders, it can do ||| 了娓娓道来的温情⟪牌⟫，想从这一手烟火 |||  migration in developing nations, whereas⟪ migration⟫ was compelled by better living conditions"
23,",×4 | \n×3 | 0×2 | ×2 | 节×1 | 支付×1 | Vend×1 | best×1 | last×1 | =×1 | .\n×1 | 鸣×1 | is×1 | 业主×1 | succ×1",:×5 | (×3 | .×3 | allowed×2 | capital×2 | write×2 | re×1 | the×1 | symbols×1 | hay×1,0.0397,-0.0355,"友为邻。\n五一劳动⟪节⟫，我们和微信支付一起 ||| 劳动节，我们和微信⟪支付⟫一起，致敬每一位凭「 |||  game similar to Def Jam:⟪ Vend⟫etta.\n\nChristian aswell as |||  empty when one of David’s⟪ best⟫ friends, Jenny (wearing |||  has been two years since we⟪ last⟫ got together.\n\n                                                                      \n4"
24,"×5 | your×4 | letter×2 | ();\n×2 | -×2 | \n×2 | ""×1 | );\n×1 | word×1 | two×1 | ENT×1 | global×1 | reib×1 | ---\n\n×1 | points×1",.×3 | word×2 | 有一×2 | '×2 | 友×1 | ması×1 | last×1 | po×1 | 困×1 | with×1,0.0402,-0.0352," requirements into your answer: In⟪ your⟫ response, words with all capital |||  in the file is the word⟪ ""⟫the""; print the integer that |||  1000);\n⟪			⟫	camera.position.z = 5 ||| , 1000⟪);\n⟫				camera.position.z =  |||  words in the file is the⟪ word⟫ ""the""; print the integer"
25,per×2 | ***×2 | Christian×2 | 国×1 | 而×1 | and×1 | silver×1 | 短×1 | cut×1 | 难×1 | {\n×1 | Damage×1 | .load×1 | �×1 | Open×1,"<｜Assistant｜>×5 | response×4 | .\n×4 | ,×3 | and×2 | '×2 | .×2 | answer×2 | :\n×1 | \n×1",0.0289,-0.0428, characters each can do one action⟪ per⟫ round.\n\nMove Attrbutes ||| 侠之大者，为⟪国⟫为民；侠之小者 ||| 生意经，一种迎难⟪而⟫上的韧劲，一种为 ||| utes:\n- Damage/Damage⟪ per⟫ Round: The amount of hit |||  \nSlide 8: Monitoring⟪ and⟫ Alerting with AWS\n-
26,general×6 | 万千×2 | al×2 | When×2 | fl×1 | tok×1 | .P×1 | 小店×1 | to×1 | 国×1 | we×1 | 守护×1 | 一方×1 | ن×1 | “×1,:×5 | <｜Assistant｜>×3 | -×3 | a×2 | .×2 | was×1 | removed×1 | \n\n×1 | THREE×1 | at×1,0.0334,-0.0358," animais marinhos e⟪ fl⟫uviais se o oce ||| a alıyor. Aç veya⟪ tok⟫ karna alması fark ed ||| 的小微商户，深藏着⟪万千⟫“各有一手”的小店 ||| ();\n				camera = new THREE⟪.P⟫erspectiveCamera(75, ||| 万千“各有一手”的⟪小店⟫店主。\n他们的“身手"
27,",×12 | .×6 | and×5 | as×3 | the×3 | )×3 | <｜Assistant｜>×2 | with×2 | ""×1 | au×1 | general×1 | response×1",<think>×5 | 为×2 | three×2 | renderer×1 | G×1 | m×1 | ';\n\n\n×1 | '×1 | 1×1 | 牌×1,0.0481,-0.053," Ignore capitalization: ""The⟪""⟫ and ""the"" are the |||  use of ! (i.e⟪.⟫ exclamation marks) as punctuation |||  use of . (i.e⟪.⟫ dots) as punctuation and in |||  use of ! (i.e⟪.⟫ exclamation marks) as punctuation |||  The last word of each sentence⟪,⟫ before punctuation, should be the"
